feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,cat_feature_1,cat_feature_2,cat_feature_3,region,season,target
7.8,4.92,6.96,0.78,0.42,2.29,2.63,0.52,B,X,Medium,West,Summer,2
7.86,3.83,1.94,1.95,2.4,1.82,3.63,0.95,C,Z,High,West,Spring,2
7.23,3.05,6.93,0.78,0.39,1.19,2.63,1.2,B,Z,Low,East,Fall,2
5.22,2.34,6.86,2.17,0.89,2.29,1.71,0.58,B,Y,Medium,East,Spring,2
4.39,2.45,5.76,2.63,2.58,1.08,3.55,0.73,C,Y,High,North,Spring,2
6.74,2.68,4.96,0.47,1.1,1.63,2.67,0.88,B,Y,Low,South,Summer,1
5.76,2.75,4.47,2.61,2.92,0.7,1.62,0.38,B,Y,High,East,Winter,2
4.49,4.55,6.2,1.82,2.94,2.34,2.87,0.23,A,Y,High,East,Summer,2
5.98,3.68,2.74,0.47,0.88,0.78,2.07,0.4,D,Z,Low,East,Summer,0
4.14,3.57,3.81,1.34,0.22,0.95,3.53,1.01,A,Y,Low,East,Winter,0
7.64,2.34,4.72,0.57,2.14,1.62,2.36,0.3,D,X,High,South,Fall,1
5.04,4.58,3.47,2.13,1.41,2.03,3.18,0.45,B,Z,High,East,Summer,2
6.65,4.17,3.56,2.3,0.39,1.74,1.29,0.64,C,Y,Low,North,Summer,1
5.25,2.2,2.98,0.41,2.15,0.96,2.19,0.3,D,Z,Medium,North,Spring,0
6.08,4.12,4.39,1.57,0.19,0.5,3.95,0.45,A,X,High,North,Fall,2
6.19,3.63,6.1,2.46,2.62,2.01,3.43,1.38,B,X,Medium,West,Summer,2
4.74,2.25,2.21,2.81,0.5,2.47,1.48,0.23,C,Z,Low,North,Summer,0
7.88,3.37,6.61,1.59,0.47,2.12,1.83,1.05,C,X,High,West,Spring,2
7.1,3.45,5.13,2.86,0.61,1.42,1.99,0.7,B,Z,Low,North,Summer,2
7.76,2.5,5.94,1.65,2.88,2.31,2.95,1.07,C,Z,Medium,South,Fall,2
7.58,4.84,4.34,1.24,2.11,1.32,3.27,0.97,C,Y,Medium,West,Spring,2
6.39,4.55,5.68,2.56,2.42,1.55,3.25,0.49,C,X,Low,East,Spring,2
7.69,4.01,1.1,1.53,1.25,1.45,2.53,1.3,C,Y,Low,North,Winter,0
4.35,3.39,5.91,1.47,1.08,1.4,3.43,0.84,B,Z,High,South,Fall,1
4.78,3.24,1.24,1.52,0.78,2.05,2.31,1.27,D,Y,High,West,Spring,0
4.18,3.95,6.34,2.56,1.49,1.55,1.37,0.73,B,Y,Low,South,Fall,2
5.3,3.64,6.95,2.51,1.7,1.13,2.69,1.48,A,Y,Medium,East,Spring,2
5.55,2.19,2.76,1.27,1.93,1.02,3.86,1.2,B,X,Medium,South,Fall,1
5.09,3.54,2.26,1.07,0.85,0.58,3.38,1.46,A,Z,Medium,South,Fall,0
7.31,4.42,5.59,1.53,2.85,1.67,2.74,0.87,A,Z,Low,North,Fall,2
5.43,3.38,2.52,1.76,0.59,0.96,2.94,0.82,A,Z,Low,East,Fall,0
5.12,2.16,6.19,0.79,2.9,0.8,3.79,1.18,A,Y,Low,East,Spring,2
6.17,4.36,1.62,2.4,0.14,1.81,2.29,1.34,C,Z,Medium,South,Fall,0
4.56,2.6,1.76,1.51,1.5,1.86,1.99,1.45,A,X,High,West,Spring,1
7.21,2.78,6.87,1.07,1.07,2.0,3.93,0.62,A,Y,Medium,West,Summer,2
4.3,2.49,5.04,0.41,1.4,1.51,3.59,1.24,A,Y,Medium,West,Winter,1
7.95,2.99,6.08,0.79,1.75,2.29,1.97,0.47,A,Z,Medium,North,Fall,2
7.09,4.27,2.95,2.85,1.36,2.37,2.39,0.91,A,Z,Medium,South,Winter,2
4.79,3.56,5.06,0.98,1.3,2.11,2.25,0.43,B,Z,High,West,Spring,1
4.02,2.61,4.57,0.59,2.22,1.77,1.45,0.65,D,Z,Medium,North,Summer,1
7.26,4.63,4.62,1.44,2.09,1.11,3.87,1.41,D,Z,Medium,North,Spring,2
6.83,4.64,5.1,0.99,2.52,2.47,2.21,0.39,D,X,Low,West,Fall,2
6.92,4.61,4.45,0.2,0.82,1.05,3.63,1.02,A,Z,Medium,South,Spring,1
7.09,2.72,3.57,1.04,1.87,0.91,1.57,0.97,A,Y,High,South,Spring,1
4.3,3.35,2.66,1.68,1.8,1.38,2.64,0.36,A,X,Medium,South,Summer,1
5.43,4.95,5.61,1.7,1.17,0.61,1.07,0.62,C,X,Low,West,Fall,2
4.46,4.32,2.36,1.13,1.51,2.46,3.29,0.93,A,Y,Medium,South,Spring,1
7.45,2.08,5.15,1.4,1.01,1.68,2.74,0.44,B,X,Medium,West,Winter,1
6.49,2.2,2.4,2.9,0.51,1.61,2.88,1.24,A,Y,Medium,East,Spring,2
5.32,3.39,4.75,1.19,0.72,1.81,1.16,1.46,A,Y,High,East,Spring,2
4.25,4.73,5.48,0.85,0.41,1.49,1.63,0.48,D,Z,Low,South,Summer,0
5.24,3.62,2.31,0.81,2.08,0.56,1.22,0.44,C,Z,High,North,Winter,0
5.3,3.49,1.36,1.43,2.02,1.72,1.87,0.79,C,Y,Medium,East,Spring,0
6.92,2.32,1.79,2.3,2.86,1.93,2.88,1.17,B,X,High,South,Spring,2
6.55,3.97,4.64,0.7,2.22,1.33,2.7,0.57,D,X,High,West,Winter,2
7.55,4.47,6.1,2.16,0.25,2.01,2.84,0.23,C,X,Medium,South,Summer,2
5.89,3.14,1.27,0.16,2.66,0.95,2.65,0.9,D,X,Medium,East,Fall,0
4.48,4.33,5.4,1.31,2.6,0.94,1.82,1.44,A,Z,Low,South,Spring,1
6.85,4.89,3.05,2.35,1.39,0.82,1.73,0.71,B,Y,Low,West,Summer,1
7.04,2.61,3.87,1.08,1.8,1.24,1.41,0.75,C,X,Low,South,Summer,1
6.25,3.57,6.57,1.73,2.93,2.19,3.55,1.46,B,X,Medium,South,Summer,2
7.08,2.86,2.99,0.69,1.64,2.16,2.85,1.1,D,Y,Medium,West,Winter,0
5.98,4.38,3.79,2.25,2.73,1.27,1.56,1.13,D,Y,Medium,East,Winter,2
6.09,3.73,1.08,0.25,0.34,1.68,1.53,0.93,B,X,Medium,East,Fall,0
5.71,3.9,1.49,2.57,0.65,1.94,3.62,1.47,B,Z,Medium,East,Winter,1
4.1,4.39,2.55,0.67,1.38,0.98,3.23,1.1,B,X,Low,East,Summer,0
4.43,3.19,1.17,2.64,1.8,0.84,2.98,1.36,D,X,High,South,Spring,0
4.13,4.75,4.79,1.12,2.47,2.44,2.22,1.11,C,X,Low,North,Fall,1
6.55,3.6,3.56,2.2,2.97,1.74,1.79,1.16,A,Y,High,West,Fall,2
5.26,2.47,4.29,1.03,1.23,2.46,3.94,0.58,B,X,Medium,North,Spring,1
6.03,4.09,2.05,2.73,0.24,1.18,3.39,0.59,A,X,High,East,Fall,2
7.63,4.38,2.78,0.47,2.42,1.91,1.91,1.22,C,X,Medium,North,Summer,2
5.0,2.95,4.98,0.62,1.85,0.95,3.54,0.59,B,Y,High,South,Fall,2
5.64,4.57,6.79,1.53,0.68,1.02,3.28,0.93,B,X,Low,North,Winter,2
7.02,4.72,1.3,0.34,1.54,1.52,1.89,0.52,C,X,Low,East,Fall,0
4.92,2.83,6.34,0.67,2.25,1.14,2.28,1.26,A,Y,Medium,East,Spring,2
4.31,4.95,4.46,2.84,2.33,0.84,1.56,0.34,A,X,Medium,North,Fall,2
5.16,2.42,4.38,2.93,1.55,1.03,1.33,1.28,B,Y,Low,South,Fall,1
4.64,2.61,4.0,1.19,0.99,0.57,3.17,0.98,A,X,Low,West,Spring,1
7.72,2.55,1.42,2.78,2.92,1.91,1.8,0.44,B,X,Medium,South,Summer,2
7.23,4.68,1.54,1.68,2.02,1.48,3.46,0.9,D,Y,Low,West,Winter,0
6.53,3.96,4.61,0.88,1.28,0.69,3.99,0.57,C,X,Medium,West,Summer,1
7.49,2.46,3.05,2.14,0.91,0.84,1.23,0.62,D,X,Medium,West,Spring,1
7.21,3.32,6.5,2.01,2.22,0.71,2.42,0.66,D,Y,Medium,West,Spring,2
4.75,3.85,3.44,2.97,0.8,1.73,3.41,0.28,B,Z,Medium,South,Fall,0
7.57,2.25,1.86,0.87,0.6,0.69,3.37,1.48,A,Y,High,West,Winter,1
6.16,4.65,5.29,2.05,1.64,2.01,3.28,0.24,A,Z,Medium,West,Fall,2
7.23,4.41,2.76,0.25,0.94,0.54,2.05,1.06,C,Z,Medium,West,Summer,0
7.58,3.52,4.15,0.43,1.92,1.0,2.36,0.68,C,Z,Low,North,Fall,1
5.27,4.9,5.19,0.11,0.44,2.28,2.78,1.04,A,Z,Low,West,Fall,1
4.44,3.25,6.4,3.0,2.0,1.94,3.92,0.66,B,Y,Medium,West,Fall,2
4.91,4.95,5.75,2.43,0.92,0.65,1.98,1.08,B,X,Medium,West,Spring,2
5.71,4.0,5.06,2.38,0.1,2.14,3.77,1.15,B,X,High,North,Fall,2
7.27,3.9,5.08,1.58,0.47,1.49,1.81,1.1,D,Y,Medium,North,Summer,1
7.44,2.5,6.68,0.97,2.81,2.19,3.97,0.35,B,Z,High,West,Spring,2
4.03,4.65,2.77,0.54,2.62,1.7,3.01,1.05,D,Y,High,East,Fall,0
6.04,3.28,1.01,0.93,0.78,1.86,2.39,0.56,B,Y,Medium,South,Winter,0
5.67,2.49,2.63,1.19,2.36,2.49,2.84,0.24,C,Y,Medium,West,Summer,0
4.89,2.04,2.31,2.29,1.86,0.96,1.82,0.74,D,Y,High,North,Winter,0
4.48,3.68,4.97,1.67,2.92,1.75,1.82,0.76,D,Y,Low,South,Spring,1
5.35,3.58,4.8,0.32,1.18,1.42,1.34,0.81,A,Y,Medium,South,Fall,1
7.77,4.16,4.56,0.15,2.08,0.58,1.34,1.12,A,X,High,South,Spring,2
5.29,4.67,1.1,0.4,0.28,0.53,2.04,0.6,B,Y,High,South,Summer,0
6.08,2.24,5.37,1.29,1.25,0.74,3.29,0.61,B,Z,High,North,Fall,2
6.81,4.19,2.94,2.81,2.9,1.8,2.82,0.28,C,Z,High,North,Fall,2
5.45,2.56,4.99,1.95,1.66,1.63,1.31,1.09,D,X,Low,East,Winter,2
7.89,4.57,4.34,2.43,0.93,1.61,3.56,0.94,A,Z,Medium,West,Fall,2
7.85,4.46,3.06,1.45,0.45,0.56,2.8,0.65,B,X,Low,East,Fall,1
5.01,3.62,1.81,1.15,2.14,1.44,3.88,1.12,A,X,High,South,Winter,1
5.99,4.13,1.57,0.41,1.97,2.35,3.01,0.9,D,Y,Medium,North,Summer,1
5.2,2.94,5.99,2.64,1.18,1.3,1.53,0.81,D,X,Medium,West,Spring,2
5.14,3.41,6.51,2.37,2.86,1.75,2.42,0.86,B,X,Medium,West,Spring,2
4.15,4.46,4.9,0.59,0.16,2.06,2.95,1.03,A,X,Medium,South,Summer,2
6.44,3.38,1.62,1.59,0.98,2.07,1.08,1.06,C,Y,Low,South,Fall,0
6.01,3.07,3.41,1.51,2.77,1.54,1.04,0.58,C,X,High,East,Spring,2
4.21,3.48,5.37,1.91,1.03,2.22,1.39,0.38,B,Y,Medium,West,Spring,1
5.11,4.48,5.68,2.84,0.83,1.28,1.75,0.4,D,Y,Low,South,Spring,2
7.63,3.01,1.71,1.78,1.65,2.28,2.29,1.03,D,Y,High,East,Fall,1
4.96,2.52,1.0,1.67,2.49,0.98,2.46,1.33,B,Z,High,East,Spring,1
4.58,4.14,5.27,0.25,0.4,1.06,1.41,0.73,B,Y,High,West,Spring,1
5.96,4.48,3.14,0.28,2.83,0.61,3.02,0.42,A,X,Medium,North,Fall,2
7.94,2.3,2.53,0.64,2.41,2.09,2.79,1.18,B,X,High,West,Winter,2
4.97,2.72,1.08,0.19,0.63,1.33,1.88,1.28,B,Y,High,South,Summer,0
6.69,2.43,4.24,2.26,2.16,0.96,1.04,1.34,B,Y,Medium,East,Fall,2
7.05,3.04,6.11,2.2,1.22,0.96,1.23,0.99,A,X,Medium,East,Spring,2
4.95,3.35,6.75,0.49,1.27,2.3,2.18,1.32,A,X,High,South,Winter,2
6.91,4.25,4.39,2.52,2.37,2.17,1.46,0.22,A,Z,Medium,East,Summer,2
5.47,3.95,4.09,0.55,2.89,1.61,2.13,0.34,B,Y,Medium,South,Winter,1
6.53,3.86,1.51,0.97,0.47,1.73,2.88,0.32,C,Y,Low,North,Winter,0
6.53,3.06,4.29,0.82,1.32,1.45,2.64,1.13,C,Z,Medium,South,Winter,1
6.14,4.52,3.28,1.18,1.49,1.28,1.69,0.29,B,Z,Low,East,Spring,0
4.36,3.41,4.64,0.84,1.19,2.33,2.03,0.85,B,Y,Medium,North,Fall,1
7.34,4.94,3.33,1.52,1.15,0.75,2.84,0.81,C,Y,High,West,Spring,2
5.28,3.9,2.44,1.28,0.25,1.34,3.58,0.6,B,Z,Medium,North,Winter,0
4.75,2.38,1.57,2.96,2.09,1.19,3.26,1.33,D,Y,Low,South,Winter,0
4.16,4.03,2.89,0.26,1.37,1.5,2.66,0.42,B,X,Medium,North,Winter,0
6.36,2.98,1.58,0.51,0.66,1.42,2.09,0.66,C,X,Low,East,Fall,0
6.71,4.06,2.06,0.25,2.47,1.54,2.1,1.21,A,Y,Low,South,Fall,1
4.07,2.21,6.92,1.91,2.43,0.78,3.64,0.24,C,Z,High,South,Fall,2
6.05,2.52,3.66,0.26,1.51,1.53,1.12,1.07,D,X,High,North,Summer,1
4.91,4.57,4.19,2.53,0.97,0.98,3.96,1.26,D,X,High,North,Summer,2
6.58,2.68,6.24,1.58,1.95,0.87,2.99,1.41,D,Z,Medium,West,Fall,1
4.7,4.51,6.97,1.63,0.94,0.63,3.04,1.34,A,Z,High,East,Winter,2
6.76,2.84,4.5,1.73,0.78,2.03,1.11,0.62,B,X,Low,South,Fall,1
5.55,3.93,5.87,0.6,2.22,1.35,2.82,0.96,B,X,High,North,Winter,2
7.75,4.08,2.96,0.67,0.22,1.75,2.45,0.3,B,Y,Medium,West,Winter,1
4.55,3.54,2.83,1.02,0.37,1.96,1.32,0.54,A,X,High,North,Fall,1
5.36,2.92,3.42,1.82,0.12,1.86,1.83,0.32,D,Z,Low,West,Summer,0
4.45,2.64,5.04,0.71,0.54,1.44,3.67,0.61,D,X,Medium,South,Fall,1
7.7,2.1,5.09,0.44,0.3,1.28,2.65,1.34,B,X,Low,South,Summer,1
7.51,2.91,2.89,2.91,2.99,1.25,2.24,0.65,A,X,Low,East,Spring,2
5.03,3.96,1.8,0.16,0.94,1.78,1.22,0.93,A,X,Medium,West,Summer,0
6.64,4.81,4.79,2.43,0.53,1.49,3.14,0.76,C,X,High,South,Winter,2
7.27,4.61,1.77,2.39,0.8,2.2,3.11,0.8,B,X,High,South,Spring,2
6.22,4.3,4.47,0.96,2.81,2.25,2.84,1.46,D,Z,High,South,Fall,2
6.12,4.37,5.16,0.49,1.61,0.84,2.53,0.59,C,X,Low,West,Winter,1
4.97,3.99,5.2,0.52,1.16,0.77,2.3,1.02,C,Z,High,East,Fall,1
4.37,2.78,5.52,2.12,2.63,1.76,2.78,0.75,B,X,High,North,Fall,2
7.59,4.72,6.24,1.96,1.25,1.1,1.7,0.28,A,Y,Medium,North,Fall,2
7.6,4.01,4.0,2.37,1.07,0.54,3.82,0.84,D,X,Medium,North,Summer,2
6.53,3.68,5.38,2.82,0.7,2.28,2.77,1.26,C,X,Medium,South,Spring,2
5.36,2.33,4.72,2.11,1.2,0.95,1.93,0.33,D,Y,Medium,North,Winter,1
5.4,3.34,2.12,0.55,1.02,2.36,2.35,0.29,B,Y,Low,East,Summer,0
6.9,3.38,1.15,0.81,2.06,1.93,3.42,0.4,C,Z,Medium,North,Fall,0
7.59,4.59,2.71,2.54,0.94,2.03,1.48,1.19,A,Z,High,South,Fall,2
7.55,3.64,3.66,0.71,1.77,0.9,1.88,1.14,C,Y,Low,East,Spring,1
7.12,3.14,4.7,0.31,0.29,0.97,3.04,0.93,C,Y,Low,South,Winter,0
6.57,4.93,6.1,2.14,0.65,1.54,1.95,0.81,C,Z,High,North,Winter,2
4.34,2.33,2.18,1.27,1.28,0.84,3.38,1.35,C,Y,Medium,North,Spring,0
4.65,3.27,1.75,2.77,2.82,1.11,1.39,1.2,A,Z,Medium,North,Winter,1
7.59,2.13,6.78,1.99,1.19,1.14,3.29,1.26,D,Z,High,West,Fall,2
6.43,4.22,1.65,0.36,2.03,0.82,1.21,1.26,D,X,Low,East,Summer,0
4.04,4.75,3.87,2.85,0.84,0.91,1.04,1.04,A,X,High,North,Fall,2
4.41,2.84,4.51,0.85,0.47,2.08,3.69,0.8,D,Y,Low,South,Spring,0
6.65,4.58,4.25,1.08,0.27,0.83,2.74,1.32,A,Y,Medium,South,Fall,1
4.02,2.88,1.52,1.27,0.99,0.56,2.06,1.4,C,Y,Medium,East,Spring,0
4.64,4.73,1.34,0.25,0.56,1.76,1.7,0.23,B,Z,High,East,Fall,0
6.19,4.26,1.63,1.54,0.6,2.45,2.85,0.27,D,X,High,South,Fall,0
6.77,4.41,4.51,0.46,2.31,1.16,2.53,1.45,A,X,High,South,Winter,2
6.61,2.05,4.27,1.26,0.15,0.74,3.97,0.56,B,X,High,North,Fall,2
4.9,4.89,2.4,1.12,1.72,1.64,3.95,1.34,B,Y,Medium,East,Spring,0
6.85,4.18,4.83,2.34,1.2,2.31,2.91,0.71,B,Y,Low,West,Winter,2
4.95,2.91,5.92,2.43,1.57,2.07,2.33,0.35,C,X,Medium,West,Fall,2
5.3,4.49,1.25,0.54,1.73,1.75,2.47,0.3,A,Y,Low,North,Fall,0
6.99,2.84,3.99,1.16,1.01,1.13,3.05,0.4,C,X,Medium,East,Spring,1
6.6,4.62,5.14,1.18,0.96,1.58,1.3,0.52,D,X,Low,East,Winter,1
7.4,2.34,2.51,0.54,2.23,0.68,1.99,0.84,C,Y,Low,West,Winter,0
6.63,4.11,2.85,2.42,2.63,1.86,1.23,1.11,D,X,High,South,Winter,2
6.27,3.62,4.68,2.15,0.66,1.95,1.22,1.48,B,Y,Low,East,Winter,1
4.37,2.29,6.39,0.65,0.38,2.43,1.59,0.77,B,Z,Medium,North,Summer,1
5.47,2.73,5.86,1.16,2.7,1.02,2.46,0.87,B,Z,Low,East,Winter,1
5.06,2.04,4.5,0.41,1.11,0.54,3.35,0.88,A,X,Medium,South,Summer,0
4.98,3.41,5.38,1.92,1.7,1.59,2.46,0.9,D,Y,Medium,West,Spring,1
7.89,2.9,3.19,0.45,1.14,1.91,2.01,0.87,A,Y,High,West,Fall,2
5.57,3.8,4.85,2.96,0.46,2.08,1.25,0.21,D,Z,High,South,Fall,1
7.57,2.89,3.8,2.36,1.81,0.89,2.65,0.2,A,Z,Medium,East,Summer,2
6.52,2.9,2.14,1.23,1.62,1.02,1.81,0.33,C,X,Low,North,Spring,0
7.18,4.23,5.21,1.78,0.69,1.53,2.84,0.33,A,X,Low,South,Spring,2
6.01,2.14,4.34,2.74,1.41,1.16,3.93,1.12,A,Y,Medium,South,Summer,2
6.31,4.71,3.15,1.71,2.41,2.22,1.33,0.47,C,Y,Low,North,Spring,1
5.97,4.56,6.47,0.61,1.81,1.45,1.64,1.36,A,X,Low,West,Spring,2
4.78,4.0,1.13,1.2,0.38,2.1,2.42,1.41,C,X,High,North,Summer,1
6.89,3.78,2.89,2.55,1.69,1.66,3.91,1.47,B,Y,High,East,Winter,2
5.12,4.68,1.34,1.97,2.14,2.05,3.32,1.42,A,X,High,West,Winter,2
4.1,2.56,5.6,1.99,2.4,1.17,3.69,0.55,D,X,Low,West,Summer,2
6.58,2.24,5.21,2.61,1.92,2.16,2.0,0.86,B,X,Low,West,Winter,2
4.71,2.72,2.99,2.69,0.54,1.05,3.98,0.43,C,X,High,North,Fall,1
7.76,4.38,5.05,2.77,2.16,1.59,1.31,1.25,B,Y,High,West,Summer,2
7.82,2.1,3.38,0.38,2.06,0.93,1.16,1.35,C,X,Low,South,Summer,1
7.66,3.75,5.54,1.68,0.17,1.45,3.57,1.31,B,X,Low,West,Summer,2
5.48,4.99,3.73,2.25,1.29,1.14,3.78,0.76,A,X,Low,East,Spring,2
4.06,4.57,3.47,2.3,1.07,1.03,1.27,1.19,B,X,Medium,West,Summer,1
7.71,3.56,6.61,1.86,2.04,2.43,1.34,0.33,B,Y,High,North,Fall,2
5.71,2.19,2.51,0.58,0.73,0.82,1.1,0.25,B,X,Medium,East,Fall,0
7.87,4.49,1.72,2.41,1.81,2.07,1.31,1.18,C,Y,High,West,Winter,1
7.85,3.8,4.51,2.19,2.75,2.47,1.63,0.75,C,X,Low,West,Summer,2
7.41,2.34,6.82,0.35,2.41,0.54,3.91,1.49,A,X,Medium,North,Fall,2
5.18,2.28,3.27,1.45,2.77,1.9,3.0,0.33,B,X,Low,West,Fall,1
5.54,4.73,1.37,0.6,2.94,1.01,3.34,1.31,B,X,Medium,North,Winter,1
7.4,4.01,3.04,1.08,0.13,0.58,3.33,0.82,A,Y,Low,East,Summer,1
5.27,4.49,4.04,0.15,1.91,1.31,2.61,1.28,A,Y,Medium,East,Winter,1
4.68,4.64,1.97,1.26,1.3,2.37,3.39,1.26,A,Z,Medium,North,Winter,0
6.23,3.72,4.95,1.69,2.59,0.52,2.79,1.39,D,X,Medium,North,Fall,2
7.74,3.55,6.99,1.9,0.83,1.68,1.94,0.59,C,X,High,West,Fall,2
6.78,3.29,3.71,2.02,2.94,1.5,2.68,1.43,A,X,Low,South,Spring,2
6.28,2.95,3.13,2.53,1.88,2.25,2.6,0.4,A,Z,Medium,North,Winter,2
4.39,3.3,3.4,0.72,2.4,0.67,3.47,0.31,C,X,Medium,West,Spring,0
6.46,4.32,1.69,0.45,0.35,1.86,3.95,0.76,B,Y,Low,West,Fall,0
7.96,3.81,6.3,2.57,0.63,1.86,2.23,1.28,C,X,Low,East,Summer,2
4.56,4.68,3.49,0.55,2.3,1.84,3.29,0.82,D,X,Medium,North,Summer,0
6.07,3.33,3.32,2.93,0.16,2.38,1.3,1.28,B,Z,Low,North,Fall,1
7.51,3.82,4.96,2.54,2.47,2.15,3.33,1.15,A,Y,High,East,Winter,2
6.96,3.89,3.65,1.55,0.14,0.58,2.11,0.47,C,Z,High,East,Summer,1
6.79,3.78,4.89,2.95,2.01,1.44,1.12,1.43,D,Y,Medium,East,Winter,2
6.81,4.11,1.37,0.38,1.16,1.3,2.09,0.28,B,Y,Medium,West,Fall,0
5.44,2.71,5.88,0.98,1.87,1.12,2.83,1.37,C,X,Medium,South,Spring,2
5.17,3.54,6.64,1.95,2.12,1.4,1.36,0.6,B,Y,Medium,North,Spring,2
7.24,2.31,4.89,1.12,1.09,1.27,3.77,0.85,B,X,Medium,West,Fall,2
7.24,3.15,6.73,2.79,0.41,1.36,1.23,0.75,C,Y,Low,East,Spring,2
7.47,3.46,1.91,0.29,0.3,2.46,3.79,0.42,D,Y,Medium,East,Summer,0
7.65,3.96,3.86,1.69,1.81,0.68,3.12,0.67,C,Z,Low,West,Spring,1
6.05,4.85,4.61,1.81,1.61,2.34,1.99,0.45,C,Y,Low,West,Summer,2
6.01,3.8,4.49,1.99,2.25,1.46,2.17,0.47,A,Y,High,East,Fall,2
7.19,4.23,3.41,0.84,1.58,1.75,3.22,0.44,A,X,High,South,Summer,2
6.6,3.52,3.03,1.16,1.33,2.16,2.8,0.84,B,X,Medium,West,Spring,1
6.81,3.9,1.76,2.55,1.25,1.22,3.01,1.24,A,X,Low,East,Summer,2
7.18,2.21,3.35,0.67,0.18,1.36,2.17,0.94,C,Y,High,South,Summer,1
7.56,2.76,1.98,2.5,1.07,1.32,2.46,1.36,A,Z,High,East,Spring,2
5.35,3.09,5.41,1.73,2.93,1.25,3.97,1.03,C,X,Low,South,Fall,2
5.5,3.42,2.25,2.31,2.63,2.35,1.64,1.1,C,X,Medium,West,Fall,1
4.38,2.14,1.35,2.17,1.06,2.16,2.25,1.07,B,Y,High,South,Spring,0
6.31,2.42,4.31,0.7,1.8,0.72,1.88,0.78,A,Z,High,West,Summer,1
4.14,2.83,4.57,1.75,2.56,0.72,3.3,1.1,C,Y,Low,West,Summer,0
5.86,4.91,6.23,2.62,1.38,1.36,3.29,0.29,D,X,Low,West,Summer,2
6.17,2.99,4.46,1.35,0.15,0.7,1.88,1.32,C,Z,High,East,Fall,1
5.15,3.45,3.07,2.9,0.32,1.74,1.24,1.21,A,Z,Medium,West,Summer,1
6.36,2.59,5.82,1.41,1.58,0.79,1.03,0.52,A,X,Low,South,Summer,2
